Sat, 30 May 2020 12:03:48 GMT | INFO | app.log | Inside SessionCheck Function | 
Sat, 30 May 2020 12:03:48 GMT | INFO | app.log | Inside SessionCheck Function | 
Sat, 30 May 2020 12:03:53 GMT | INFO | app.log | Inside SessionCheck Function | 
Sat, 30 May 2020 12:03:53 GMT | INFO | app.log | Inside SessionCheck Function | 
Sat, 30 May 2020 12:04:26 GMT | INFO | app.log | Inside SessionCheck Function | 
Sat, 30 May 2020 12:04:30 GMT | INFO | app.log | Inside SessionCheck Function | 
Sat, 30 May 2020 12:04:30 GMT | INFO | app.log | Inside SessionCheck Function | 
Sat, 30 May 2020 12:05:36 GMT | INFO | app.log | Inside SessionCheck Function | 
Sat, 30 May 2020 12:06:10 GMT | INFO | app.log | Inside Login function | 
Sat, 30 May 2020 12:06:10 GMT | INFO | app.log | Session is created | 
Sat, 30 May 2020 12:06:11 GMT | INFO | app.log | Inside SessionCheck Function | 
Sat, 30 May 2020 12:06:11 GMT | INFO | app.log | User already login | 
Sat, 30 May 2020 12:06:36 GMT | INFO | app.log | Inside Login function | 
Sat, 30 May 2020 12:06:36 GMT | INFO | app.log | Session is created | 
Sat, 30 May 2020 12:06:38 GMT | INFO | app.log | Inside SessionCheck Function | 
Sat, 30 May 2020 12:06:38 GMT | INFO | app.log | User already login | 
Sat, 30 May 2020 12:06:38 GMT | INFO | app.log | Restaurant details found | 
Sat, 30 May 2020 12:06:38 GMT | INFO | app.log | FindMenu function for viewing all the items of particular Restaurant | 
Sat, 30 May 2020 12:06:51 GMT | INFO | app.log | Inside SessionCheck Function | 
Sat, 30 May 2020 12:06:51 GMT | INFO | app.log | User already login | 
Sat, 30 May 2020 12:08:18 GMT | INFO | app.log | Inside SessionCheck Function | 
Sat, 30 May 2020 12:08:18 GMT | INFO | app.log | User already login | 
Sat, 30 May 2020 12:08:40 GMT | INFO | app.log | Inside SessionCheck Function | 
Sat, 30 May 2020 12:08:40 GMT | INFO | app.log | User already login | 
Sat, 30 May 2020 12:09:09 GMT | INFO | app.log | Inside SessionCheck Function | 
Sat, 30 May 2020 12:09:09 GMT | INFO | app.log | User already login | 
Sat, 30 May 2020 12:09:14 GMT | INFO | app.log | Inside SessionCheck Function | 
Sat, 30 May 2020 12:09:14 GMT | INFO | app.log | User already login | 
Sat, 30 May 2020 12:09:16 GMT | INFO | app.log | Inside logout function | 
Sat, 30 May 2020 12:09:16 GMT | INFO | app.log | Session is deleted | 
Sat, 30 May 2020 12:09:16 GMT | INFO | app.log | User logout | 
Sat, 30 May 2020 12:09:16 GMT | INFO | app.log | Inside SessionCheck Function | 
Sat, 30 May 2020 12:11:09 GMT | INFO | app.log | Inside SessionCheck Function | 
Sat, 30 May 2020 12:11:17 GMT | INFO | app.log | Inside Login function | 
Sat, 30 May 2020 12:11:17 GMT | INFO | app.log | Session is created | 
Sat, 30 May 2020 12:11:19 GMT | INFO | app.log | Inside SessionCheck Function | 
Sat, 30 May 2020 12:11:19 GMT | INFO | app.log | User already login | 
Sat, 30 May 2020 12:12:16 GMT | INFO | app.log | Inside SessionCheck Function | 
